before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-20,equal_offline,index=8.225704,below_onb,397136728163.667114,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-8,-20,equal_offline,index=9.271677,onb_or_above,436631758514.265869,3031299350260.517090,9,9,2277866898866.188965,753432451394.330933
-12,-16,randomforest,index=1.0,below_onb,-6022353180.574020,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=10.322114,onb_or_above,-61810847555.624756,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=11.376320,onb_or_above,-27138450889.763893,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=12.434018,onb_or_above,-4793020856.437772,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=13.496023,onb_or_above,325670902.104221,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=14.562158,onb_or_above,483478470.324663,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=15.633482,onb_or_above,-526679052.732655,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=16.709792,onb_or_above,6089574883.997858,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=17.789500,onb_or_above,18677697923.554901,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=18.873637,onb_or_above,23438606961.322510,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=2.2380,below_onb,-1106633236.017487,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=3.21242,below_onb,-3565910947.682368,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=4.58389,below_onb,-323951211.406467,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=5.113188,below_onb,622108935.197206,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=6.146381,below_onb,5341163221.281844,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=7.184190,below_onb,9584300806.650208,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=8.225704,below_onb,121913849.298946,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,randomforest,index=9.271677,onb_or_above,-137123357741.242981,-177726688717.750031,9,9,4650638236.747866,-182377326954.497803
-12,-16,conformer,index=1.0,below_onb,-164407909173.171997,2068171194183.520020,12,6,1137067372127.683594,931103822055.835571
-12,-16,conformer,index=10.322114,onb_or_above,351309898957.344727,2068171194183.520020,12,6,1137067372127.683594,931103822055.835571
-12,-16,conformer,index=11.376320,onb_or_above,76197774984.917709,2068171194183.520020,12,6,1137067372127.683594,931103822055.835571
