experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=9.271677,7,7.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0007.npy,376320.1201,0.7219323843960477,1.3295905666731286e-08,-84.23931617878667,-84.79756224633712,-85.73538224914884,-90.87794050373914,-90.55324754780457,-92.71068525127023,-88.71785207308938,-81.67501567908756,-84.57589717925474
2025.06.18_0.3_3,index=9.271677,8,8.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0008.npy,376320.1201,0.7219323843960477,1.3100815715407521e-08,-84.2838692982801,-85.05543410582149,-86.04024748546466,-90.44543262594954,-90.24799790577151,-92.52897657053369,-88.7454588677306,-81.86191876771457,-84.69642076921022
2025.06.18_0.3_3,index=9.271677,9,9.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0009.npy,376320.1201,0.7219323843960477,8.886987254347135e-08,-82.99534376823564,-81.99648026429145,-75.68870622418585,-80.45025072577172,-74.21233245743653,-85.95114816941971,-87.52244033519807,-73.73502450891334,-74.43689982821563
2025.06.18_0.3_3,index=9.271677,10,10.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0010.npy,376320.1201,0.7219323843960477,2.3290259360477908e-08,-84.10547579032196,-84.97170103768994,-84.5311819987839,-89.07641029928766,-81.82863230501597,-91.57863822013509,-88.74754728444222,-81.00033490123509,-83.22418663274416
2025.06.18_0.3_3,index=9.271677,11,11.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0011.npy,376320.1201,0.7219323843960477,5.434981458574022e-06,-62.580220934022634,-58.0533026263653,-57.1904813850993,-71.73255837230083,-68.20198715617495,-77.82235341163201,-79.6788287044309,-54.50714048438934,-57.040493685387254
2025.06.18_0.3_3,index=9.271677,12,12.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0012.npy,376320.1201,0.7219323843960477,3.208977131216593e-08,-80.10057006442288,-82.0580706944473,-81.46212987949488,-88.05897899612282,-83.04048573456824,-90.71090365997071,-87.96480387782171,-78.25918573886729,-80.6023245982166
2025.06.18_0.3_3,index=9.271677,13,13.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0013.npy,376320.1201,0.7219323843960477,2.686204435701992e-08,-81.57216512211409,-82.3586950174385,-81.40688158473313,-90.73781128082362,-90.23164282249908,-92.73491087839716,-88.81339603351613,-78.57421615981997,-80.92768759936268
2025.06.18_0.3_3,index=9.271677,14,14.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0014.npy,376320.1201,0.7219323843960477,2.293896312404097e-07,-78.2647759198928,-74.58098267633672,-69.1951671963211,-78.2660614257811,-72.98014288635166,-84.4631125833996,-86.9179426854792,-67.69312845140958,-68.68806764481194
2025.06.18_0.3_3,index=9.271677,15,15.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0015.npy,376320.1201,0.7219323843960477,1.7420536358368634e-07,-80.04033458647696,-76.20475146135136,-69.60162746373192,-80.27487947418906,-77.08794428710775,-89.10260810938028,-87.2203956518529,-68.44799077063043,-69.2447705670728
2025.06.18_0.3_3,index=9.271677,16,16.0,1,271677.6816,271677.6816_src-index=9.271677_chunk-0016.npy,376320.1201,0.7219323843960477,3.3224218077899948e-06,-64.73609065592939,-59.83894361602552,-57.530664409018826,-73.7637381134853,-71.73548603566302,-80.91489658790496,-82.01290365983616,-55.45828445657566,-57.42848626330791
