source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=13.4.89E+05,59,489453.9981,1000-2000,6.421359862986557e-05,2.1537695066987777e-07,24.7442778525553,44.7442778525553
index=13.4.89E+05,59,489453.9981,2000-3000,0.00021396548514956493,1.9634717284591896e-07,30.373190704444465,50.37319070444447
index=13.4.89E+05,59,489453.9981,3000-5000,4.578899670694051e-06,3.1352603372795725e-07,11.644875192711837,31.644875192711837
index=13.4.89E+05,59,489453.9981,5000-10000,4.37634628058124e-05,8.803116670416599e-06,6.964752207194133,26.96475220719413
index=13.4.89E+05,59,489453.9981,10000-15000,3.497994500687139e-06,3.761802899323205e-05,-10.31576914459561,9.68423085540439
index=13.4.89E+05,59,489453.9981,15000-22050,3.930403293141776e-06,1.8667815056408032e-05,-6.766563746365336,13.233436253634665
index=13.4.89E+05,59,489453.9981,500-3000,0.00030126114587940685,1.8351549874534266e-06,22.15270375302529,42.15270375302529
index=13.4.89E+05,59,489453.9981,3000-22050,5.5770760270335365e-05,6.540248675378464e-05,-0.691876966584454,19.308123033415548
index=13.4.89E+05,59,489453.9981,0-22050,0.0003572132783381076,6.724528607258909e-05,7.252657486324006,27.252657486324004
index=14.5.54E+05,0,554196.3218,500-1000,4.730449391778081e-05,3.4340345216325014e-06,11.390977438708877,31.390977438708877
index=14.5.54E+05,0,554196.3218,1000-2000,0.00016302894658945657,4.7051219214316043e-07,25.396938408057224,45.396938408057224
index=14.5.54E+05,0,554196.3218,2000-3000,0.0005320811697883533,4.49573190584588e-07,30.731774845964285,50.73177484596428
index=14.5.54E+05,0,554196.3218,3000-5000,7.89089308272503e-06,7.874422966769743e-07,10.009074201944923,30.009074201944923
index=14.5.54E+05,0,554196.3218,5000-10000,8.146109256963716e-05,1.319820927204971e-05,7.904352203234896,27.904352203234897
index=14.5.54E+05,0,554196.3218,10000-15000,5.531989324636153e-06,3.0488541387334577e-05,-7.412553142748117,12.587446857251884
index=14.5.54E+05,0,554196.3218,15000-22050,4.669593449520476e-06,2.162941859450793e-05,-6.657657745487146,13.342342254512854
index=14.5.54E+05,0,554196.3218,500-3000,0.0007424146102955907,4.35411990436025e-06,22.317461254306416,42.317461254306416
index=14.5.54E+05,0,554196.3218,3000-22050,9.955356842651883e-05,6.610361155056919e-05,1.7783164393795396,21.77831643937954
index=14.5.54E+05,0,554196.3218,0-22050,0.0008423483868391494,7.047151456644572e-05,10.774781430842864,30.774781430842864
index=14.5.54E+05,30,554196.3218,500-1000,2.234824085980545e-05,1.6935737324480336e-06,11.204392342550939,31.20439234255094
index=14.5.54E+05,30,554196.3218,1000-2000,8.366070465696305e-05,2.1421019097518153e-07,25.91681389837445,45.91681389837445
index=14.5.54E+05,30,554196.3218,2000-3000,0.00020669397464176636,2.2874730006400457e-07,29.559718399158225,49.55971839915823
index=14.5.54E+05,30,554196.3218,3000-5000,4.087700539154757e-06,3.9738488453477373e-07,10.122677286337442,30.122677286337442
index=14.5.54E+05,30,554196.3218,5000-10000,4.813552711841037e-05,1.2332727545712567e-05,5.91406594828166,25.91406594828166
index=14.5.54E+05,30,554196.3218,10000-15000,3.922025731967334e-06,3.299398763413439e-05,-9.249243685975804,10.750756314024196
index=14.5.54E+05,30,554196.3218,15000-22050,3.5317854963190626e-06,1.9401005726237185e-05,-7.398299251030509,12.601700748969492
index=14.5.54E+05,30,554196.3218,500-3000,0.00031270292015853486,2.1365312234872198e-06,21.654226928724736,41.65422692872474
index=14.5.54E+05,30,554196.3218,3000-22050,5.9677038885851534e-05,6.512510579061892e-05,-0.37941176037961477,19.620588239620385
index=14.5.54E+05,30,554196.3218,0-22050,0.00037266853046586117,6.727049294886384e-05,7.4349811069628995,27.4349811069629
index=14.5.54E+05,59,554196.3218,500-1000,2.5984063880022813e-05,1.4234308639376297e-06,12.61370696940812,32.61370696940812
index=14.5.54E+05,59,554196.3218,1000-2000,8.340250390519017e-05,2.1537695066987777e-07,25.87979865316791,45.87979865316791
index=14.5.54E+05,59,554196.3218,2000-3000,0.00028115585197258054,1.9634717284591896e-07,31.559224749833355,51.559224749833355
index=14.5.54E+05,59,554196.3218,3000-5000,6.322064794185816e-06,3.1352603372795725e-07,13.045853341292533,33.045853341292535
index=14.5.54E+05,59,554196.3218,5000-10000,6.568915085110324e-05,8.803116670416599e-06,8.72857190143883,28.72857190143883
index=14.5.54E+05,59,554196.3218,10000-15000,4.356149074325476e-06,3.761802899323205e-05,-9.362933032504937,10.637066967495063
index=14.5.54E+05,59,554196.3218,15000-22050,3.3014587350943285e-06,1.8667815056408032e-05,-7.523876162431983,12.476123837568018
index=14.5.54E+05,59,554196.3218,500-3000,0.00039054241975779354,1.8351549874534266e-06,23.279954644298954,43.279954644298954
index=14.5.54E+05,59,554196.3218,3000-22050,7.966882345470886e-05,6.540248675378464e-05,0.856941420545624,20.856941420545624
index=14.5.54E+05,59,554196.3218,0-22050,0.00047041628344999625,6.724528607258909e-05,8.448205009367612,28.448205009367612
index=15.6.24E+05,0,624442.5514,500-1000,6.670359281310788e-05,3.4340345216325014e-06,12.883445699547924,32.88344569954792
index=15.6.24E+05,0,624442.5514,1000-2000,0.00019218336576453453,4.7051219214316043e-07,26.11144913481567,46.11144913481567
index=15.6.24E+05,0,624442.5514,2000-3000,0.000846678768782286,4.49573190584588e-07,32.74918264557011,52.74918264557011
index=15.6.24E+05,0,624442.5514,3000-5000,1.477166226968982e-05,7.874422966769743e-07,12.73210630871967,32.73210630871967
index=15.6.24E+05,0,624442.5514,5000-10000,0.00014427013676654356,1.319820927204971e-05,10.386614332052579,30.38661433205258
index=15.6.24E+05,0,624442.5514,10000-15000,9.288447799045928e-06,3.0488541387334577e-05,-5.161935029211059,14.838064970788942
index=15.6.24E+05,0,624442.5514,15000-22050,7.266313246182862e-06,2.162941859450793e-05,-4.737307295338163,15.262692704661838
