snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-8,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999564001640208,0.9999585556276199,0.0221238288754373
-8,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999569312398806,0.9999590994890467,0.02184399100200172
-8,1,cnntf_v2_gap,false_negative_val0194,integrated_gradients,1,0.01,0.9999672602390947,0.9999685331918471,0.02067238978002132
-8,1,cnntf_v2_gap,false_negative_val0194,integrated_gradients,2,0.01,0.9999682851341278,0.9999695051470227,0.02047436289858094
-8,1,cnntf_v2_gap,worst_prediction_val0145,integrated_gradients,1,0.01,0.9998600058246442,0.9998654440574283,0.04751542265822354
-8,1,cnntf_v2_gap,worst_prediction_val0145,integrated_gradients,2,0.01,0.9998704413320508,0.999875852843348,0.04588949847894038
-8,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9999461680435728,0.999948166306437,0.03280341381677232
-8,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9999472178735935,0.9999491942378045,0.032284451578743587
-8,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9999322613526773,0.9999328098288217,0.03737444893893433
-8,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9999316800717573,0.9999322174255956,0.03773297800896722
-8,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999484000685326,0.9999510439663759,0.02179754880440012
-8,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999492109533306,0.9999518055943236,0.0216294752447085
-8,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.9999775096572854,0.9999774615368843,0.02881806326268928
-8,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999776129193411,0.999977602210547,0.0284278330204436
-8,1,alexnet,worst_prediction_val0145,integrated_gradients,1,0.01,0.9997603533907236,0.9997649239421581,0.050503159912007836
-8,1,alexnet,worst_prediction_val0145,integrated_gradients,2,0.01,0.9997912689734991,0.9997961527366044,0.048368858230652644
-8,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9999294609023996,0.9999303737912941,0.03359783232781214
-8,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9999272853959644,0.99992834499359,0.033223371554540485
