experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,3,0.39990839604153283,0.15268363008792066,206848.4629182384,31335.373049998994,154356.89672307888,37093.44393856478,0.8995640476076089,0.018873134454451403
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.6447782080252185,0.1465122542288504,155328.02454815063,29796.318563042834,131902.39763252335,34229.16105414289,0.886629847870268,0.07227089382152753
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.29590124895569003,0.4771074743430262,214882.55822871704,69121.44704714857,176221.40711488447,51896.15124407778,0.7092863721210937,0.218514703871638
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,3,0.2117229552849487,0.3735363579158142,231218.47410620796,50780.79204290047,185040.79758585666,39769.75442970458,0.8618848016614292,0.05907319909488841
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.7358166580260811,0.021229020388797506,137662.85449794692,3026.3926023623962,113403.19942363446,3421.783352217622,0.9144806469883179,0.012534850208677964
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.36221262163354523,0.361247379414361,210164.2308880308,65370.41759848255,174751.0809315511,63663.205243682925,0.8266501111440574,0.034112091306378996
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,3,0.2592857111466136,0.2763262691837196,228124.60201810524,49327.27415661415,172099.4876253011,56210.45024465685,0.887708071327578,0.006723614941872322
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.7087627250756151,0.11142732850467703,141139.7484837007,24371.837645013537,119646.64635585668,30914.929410586257,0.9088476433833753,0.053510987482623895
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.7293634753327716,0.08187148465121667,138167.01231052735,27199.31950342938,122009.40170085667,27241.96877075088,0.9177403434066985,0.02095319439440715
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,3,0.7007592306104288,0.16657968247592658,141817.68013606418,36735.55319640628,112758.46648585668,27990.167549298465,0.9220687861771716,0.038126298179364825
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.7925783648578779,0.034727337543324965,121734.62903463615,8743.221541904704,99632.86884294,6657.873607564262,0.9360771223279531,0.005595995048783741
