snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_10000_15000Hz,10000.0,15000.0,141129.015625,117969.5859375,-117969.5859375,True
no_noise,alexnet,false_negative_val0424,424,index=9.271677,4,near_onb,failure_vs_best_single,271677.6816,23159.4296875,-248518.2519125,freq_15000_22000Hz,15000.0,22000.0,209657.21875,186497.7890625,-186497.7890625,True
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_0_256Hz,0.0,256.0,111162.1953125,15.65625,15.65625,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_256_512Hz,256.0,512.0,111813.5390625,667.0,667.0,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_512_1000Hz,512.0,1000.0,482728.90625,371582.3671875,371582.3671875,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_1000_2000Hz,1000.0,2000.0,703437.75,592291.2109375,592291.2109375,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_2000_5000Hz,2000.0,5000.0,348868.28125,237721.7421875,237721.74218749997,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_5000_10000Hz,5000.0,10000.0,278795.375,167648.8359375,167648.83593749997,False
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_10000_15000Hz,10000.0,15000.0,109169.1796875,-1977.359375,-1977.359375,True
no_noise,alexnet,low_heatflux_val0000,0,index=1.0,0,below_onb,failure_vs_best_single,-1.42e-06,111146.5390625,111146.53906392,freq_15000_22000Hz,15000.0,22000.0,215012.84375,103866.3046875,103866.3046875,False
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_0_256Hz,0.0,256.0,919613.8125,10466.0,10466.0,False
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_256_512Hz,256.0,512.0,906879.375,-2268.4375,-2268.4375,True
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_512_1000Hz,512.0,1000.0,1448554.0,539406.1875,539406.1875,False
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_1000_2000Hz,1000.0,2000.0,2320014.0,1410866.1875,1410866.1875,False
no_noise,alexnet,high_heatflux_val1020,1020,index=18.873637,0,above_onb,failure_vs_best_single,873637.0359,909147.8125,35510.77659999998,freq_2000_5000Hz,2000.0,5000.0,1667178.0,758030.1875,758030.1875,False
