snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-8,cnntf_v2_gap,frequency,freq_2000_5000Hz,2000.0,5000.0,1.8849232455911549,1.5177033855179554,2.617373148373579,298652.6919905949
-8,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.0237262134096837,-0.072904423628768,0.1206345747923902,16007.820701195806
-8,cnntf_v2_gap,frequency,freq_5000_10000Hz,5000.0,10000.0,1.0622107338619144,0.4844993893343848,1.4543804844702004,206391.45971714426
-8,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,0.5429941501056208,0.3527406273209695,0.8675738777833225,135978.61735074475
-8,cnntf_v2_gap,time,time_1,0.0,0.25,0.09985130403982263,0.0726903014846159,0.1262876170550022,42560.67854837953
-8,cnntf_v2_gap,time,time_2,0.25,0.5,0.347985824129339,0.2860790021773113,0.3926337164109393,103653.14660237398
-8,cnntf_v2_gap,time,time_3,0.5,0.75,0.46340723209731877,0.4107963464904877,0.5262119271225533,125389.62839036241
-8,cnntf_v2_gap,time,time_4,0.75,1.0,0.30925377497075374,0.2456079453090685,0.3674797705961375,95690.8412593108
-8,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-8,rf,frequency,freq_10000_15000Hz,10000.0,15000.0,0.0033314506455881,-0.000869511383672,0.0089920419036889,1318.928686050179
-8,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.011018437425768732,-0.0122406852376726,0.0419981325800083,4438.959456121612
-8,rf,frequency,freq_15000_22000Hz,15000.0,22000.0,0.0017895922981376,-0.0004926927676839,0.0063108106966668,714.7790554002058
-8,rf,frequency,freq_2000_5000Hz,2000.0,5000.0,0.42622335917218895,0.3125652752530369,0.5600648922752147,114032.25601639575
-8,rf,frequency,freq_256_512Hz,256.0,512.0,0.0,0.0,0.0,0.0
-8,rf,frequency,freq_5000_10000Hz,5000.0,10000.0,0.016303262788010933,-0.0307894785436274,0.0731815895046144,5751.665972402055
-8,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.011172612568388966,-0.0364085566762619,0.0673384244059734,3341.254848527539
-8,rf,time,time_1,0.0,0.25,0.03447948763039667,-0.0202553278443679,0.1000893183392693,13447.485746026474
-8,rf,time,time_2,0.25,0.5,0.027541856014375865,-0.0200189444152676,0.0754409641875885,11582.315412195248
-8,rf,time,time_3,0.5,0.75,0.030519740934352863,-0.0367573253770849,0.1046134805089119,11240.575663697358
-8,rf,time,time_4,0.75,1.0,0.024019102599582797,-0.0207818330264554,0.0720641177024866,9980.946768896423
0,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.0006530286564159551,-0.0011020686021144,-8.606481265116539e-05,-358.8792627970688
0,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,3.6564710365101347,1.7193625722714176,6.291704699613714,421856.84927180456
0,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,39.910783985931204,8.472303080210304,68.71456304722263,1492835.4494728397
0,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,1.1896937622361592,0.0958997353504699,2.2953319826491843,198090.8155085309
0,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,16.483848839395314,6.283261940263829,31.246937404125266,951797.0848997243
0,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.028834676427240937,-0.0192806076918453,0.1062533258859175,12108.702733417527
0,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,5.843497980621897,3.5778378261248296,8.81106344457311,551250.4699897987
0,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,4.519183656547111,1.4449513861993644,9.58647031302426,444199.87227322353
0,alexnet,time,time_1,0.0,0.25,2.878924084083534,1.3923682030440874,5.748807776073368,359413.2923394859
0,alexnet,time,time_2,0.25,0.5,9.353436429501764,3.815809323020601,13.34691876077162,710868.765014925
0,alexnet,time,time_3,0.5,0.75,6.21972552839107,1.4494552889264576,9.09039904047184,552531.9963079559
0,alexnet,time,time_4,0.75,1.0,2.0003654893352802,0.5542454917816501,4.429266406618997,271701.3036566694
0,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.0001612505071500757,5.802323223402794e-05,0.0003333563808822,168.50130050127217
0,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,1.5367511538608267,0.5108580109248342,3.183264555526516,253328.69364771227
0,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,0.9625275049772609,0.5340032994089834,1.554779756196359,205192.56784343693
0,cnntf_v2_gap,frequency,freq_15000_22000Hz,15000.0,22000.0,1.5210818186086466,0.5131745937245934,2.251154281554039,267442.82344554865
